id,violcount
10_04_35,10.0
10_04_36,5.5
10_04_37,5.5
10_04_38,6.0
10_04_39,2
10_04_4,0
10_04_40,3.5
10_04_41,0
10_04_42,1.5
10_04_43,2.0
10_04_44,0
10_04_45,0
10_04_46,2.0
10_04_47,3.0
10_04_48,0
10_04_49,2
10_04_5,4.5
10_04_50,5.0
10_04_51,10.5
10_04_52,4.5
10_04_53,5.5
10_04_54,18.5
10_04_55,5.5
10_04_56,4.0
10_04_57,1.5
10_04_58,2.5
10_04_59,3.0
10_04_6,2.5
10_04_60,5
10_04_61,0
10_04_62,2.0
10_04_63,0
10_04_64,1
10_04_7,13.5
10_04_8,1
10_04_9,11.0
10_05_0,9.0
10_05_1,8.0
10_05_10,6.0
10_05_11,2.0
10_05_2,7.0
10_05_3,2
10_05_4,0.5
10_05_5,6.0
10_05_6,5.0
10_05_7,3.5
10_05_8,9.5
10_05_9,9.0
10_06_0,11.5
10_06_1,10.0
10_07_0,5.0
10_07_1,1
10_07_2,5
10_07_3,5.0
10_07_4,8.5
10_08_0,2
10_08_1,8.0
10_08_2,6
10_08_3,10.0
10_08_4,12
10_08_5,9.0
10_09_0,5.0
10_09_1,8.5
10_09_2,6.0
10_09_3,13.0
10_09_4,10
10_10_0,4.5
10_10_1,0
10_10_10,5.5
10_10_11,6.0
10_10_12,7.0
10_10_13,1.5
10_10_14,2.5
10_10_15,8.5
10_10_16,10.0
10_10_17,12.5
10_10_18,1.5
10_10_19,2
10_10_2,2
10_10_20,7.5
10_10_21,8.0
10_10_22,24.0
10_10_23,14.5
10_10_24,9.5
10_10_3,5.0
10_10_4,1.0
10_10_5,4.0
10_10_6,2
