id,violcount
03_45_0,0
03_45_1,0
03_45_10,2.5
03_45_11,2.0
03_45_12,4.0
03_45_13,1.5
03_45_14,0.5
03_45_15,0.5
03_45_16,4.0
03_45_17,0.5
03_45_18,1
03_45_19,1
03_45_2,0
03_45_20,0
03_45_21,0
03_45_22,0
03_45_23,3.0
03_45_24,0
03_45_25,1
03_45_3,0
03_45_4,0
03_45_5,0
03_45_6,0
03_45_7,0
03_45_8,0.5
03_45_9,1
03_46_0,7.0
03_46_1,5.0
03_46_2,6.0
03_47_0,1.0
03_48_0,1.0
03_49_0,1.0
03_50_0,1.5
03_50_1,0
03_50_10,7.0
03_50_11,1.5
03_50_12,4.5
03_50_13,2.5
03_50_2,0.5
03_50_3,1
03_50_4,0
03_50_5,2
03_50_6,3
03_50_7,2
03_50_8,3
03_50_9,2
03_51_0,0
03_52_0,1.0
03_52_1,1
03_52_2,0
03_52_3,0.5
03_52_4,1
03_52_5,5.5
03_53_0,4.5
03_53_1,0
03_53_2,1
03_53_3,3
03_53_4,3.5
03_53_5,5.5
03_53_6,2.5
03_53_7,5
03_53_8,6
03_53_9,2
03_54_0,0.5
03_54_1,7.5
03_55_0,2
03_55_1,0
03_55_2,0.5
03_55_3,0.5
03_55_4,0
03_55_5,2
03_56_0,2
03_56_1,3.0
03_56_2,4.5
03_57_0,0
03_57_1,0
03_57_10,8.0
03_57_11,3
03_57_12,3.5
03_57_13,2.5
03_57_14,1
03_57_15,0
03_57_16,4.0
03_57_17,6.5
03_57_18,1.5
03_57_19,4.0
03_57_2,2
03_57_20,0.5
03_57_21,0.5
03_57_22,7.0
03_57_23,3
03_57_24,7.5
03_57_25,5.0
03_57_26,5.5
03_57_27,7.0
03_57_28,7.5
03_57_29,16.0
03_57_3,0
03_57_30,12.0
03_57_31,11.0
03_57_32,20.5
03_57_33,5.0
03_57_34,3
03_57_35,7.0
03_57_36,4.0
03_57_37,9.0
03_57_38,4.5
03_57_39,18.0
03_57_4,1
03_57_40,10.0
03_57_41,14.0
03_57_42,7.0
03_57_43,5.0
03_57_44,3.5
03_57_45,6.5
03_57_46,5
03_57_47,2
03_57_48,5
03_57_49,2.0
03_57_5,0
03_57_50,2.0
03_57_51,0
03_57_52,0
03_57_53,1
03_57_54,4.0
03_57_6,0
03_57_7,0.5
03_57_8,0
03_57_9,1
03_58_0,0
03_58_1,0
03_58_2,0.5
03_58_3,0.5
03_58_4,2.5
03_58_5,0
03_58_6,1
03_58_7,1.5
03_59_0,0
03_59_1,2.0
03_59_2,1.5
03_59_3,0
03_59_4,2.5
03_59_5,0.5
03_59_6,1.5
03_60_0,1.0
