labouring	labouring	vvg	labouring	labour	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
hands	hands	n2	hands	hand	0
they	they	pns32	they	they	0
lived	lived	vvd	lived	live	0
very	very	av	very	very	0
basely	basely	av-j	basely	base	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
the	the	dt	the	the	0
father	father	n1	father	father	0
of	of	pp-f	of	of	0
/	/	/	/	/	0
Elius	Elius	np1	Elius	Elius	0
-	-	-	-	-	0
^Rus	^Rus	np1	^Rus	^Rus	0
Perti-Pertinax	Perti-Pertinax	np1	Perti-Pertinax	Perti-Pertinax	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
poore	poore	j	poor	poor	0
artisan	artisan	n1	artisan	artisan	0
,	,	,	,	,	0
his	his	po31	his	his	0
Grandfather	Grandfather	n1	Grandfather	grandfather	0
nfx^scend-likewise	nfx^scend-likewise	j	nfx^scend-likewise	nfx^scend-likewise	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
bond	bond	n1	bound	bond	0
man	man	n1	man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
historiographers	historiographers	n2	historiographers	historiographer	0
do	do	vdb	do	do	0
parentage	parentage	n1	parentage	parentage	0
witnes	witnes	n1	witness	witness	0
:	:	:	:	:	0
and	and	cc	and	and	0
neverthelesse	neverthelesse	av	nevertheless	nevertheless	0
,	,	,	,	,	0
being	being	vbg	being	be	0
moved	moved	vvn	moved	move	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
valiant	valiant	j	valiant	valiant	0
became	became	vvd	became	become	0
Em-courage	Em-courage	n1	Em-courage	em-courage	0
,	,	,	,	,	0
•	•	•	•	•	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
nothing	nothing	pix	nothing	nothing	0
dismayed	dismayed	vvn	dismayed	dismay	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
this	this	d	this	this	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
perour	perour	n1	perour	perour	0
of	of	pp-f	of	of	0
rather	rather	av	rather	rather	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
aspire	aspire	vvi	aspire	aspire	0
unto	unto	p-acp	unto	unto	0
high	high	j	high	high	0
things	things	n2	things	thing	0
,	,	,	,	,	0
he	he	pns31	he	he	0
began	began	vvd	began	begin	0
Rome-with	Rome-with	j	Rome-with	rome-with	0
a	a	dt	a	a	0
brave	brave	j	brave	brave	0
stomacke	stomacke	n1	stomach	stomach	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
feates	feates	n2	feats	feat	0
of	of	pp-f	of	of	0
armes	armes	n2	arms	arm	0
,	,	,	,	,	0
and	and	cc	and	and	0
469	469	crd	469	469	0
Rusten	Rusten	np1	Rusten	Rusten	0
Bassha	Bassha	np1	Bassha	Bassha	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
heard-mans	heard-mans	ng1	herdsmans	herdsmans	0
sonne	sonne	n1	son	son	0
through	through	p-acp	through	through	0
his	his	po31	his	his	0
va-lure	va-lure	n1	valour	valour	0
became	became	vvd	became	become	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turkes	Turkes	np2	Turkes	Turk	0
sonne	sonne	n1	son	son	0
in	in	p-acp	in	in	0
law	law	n1	law	law	0
.	.	.	.	.	1
Agathocles	Agathocles	np1	Agathocles	Agathocles	0
a	a	dt	a	a	0
potters	potters	ng1	potters	potters	0
sonne	sonne	n1	son	son	0
became	became	vvd	became	become	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
SiciBe	SiciBe	n1	SiciBe	sicibe	0
.	.	.	.	.	1
THE	THE	dt	THE	the	0
ENGLISH	ENGLISH	jp	ENGLISH	english	0
VOYAGES	VOYAGES	n2	VOYAGES	voyage	0
profited	profited	vvn	profited	profit	0
so	so	av	so	so	0
wel	wel	av	well	well	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
that	that	cst	that	that	0
from	from	p-acp	from	from	0
step	step	n1	step	step	0
to	to	pc-acp	to	to	0
step	step	vvi	step	step	0
he	he	pns31	he	he	0
became	became	vvd	became	become	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Romans	Romans	njp2	Roman	roman	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
all	all	d	all	all	0
this	this	d	this	this	0
dignitie	dignitie	n1	dignity	dignity	0
he	he	pns31	he	he	0
despised	despised	vvd	despised	despise	0
not	not	xx	not	not	0
his	his	po31	his	his	0
parents	parents	n2	parents	parent	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
contrariwise	contrariwise	av	contrariwise	contrariwise	0
,	,	,	,	,	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
he	he	pns31	he	he	0
caused	caused	vvd	caused	cause	0
his	his	po31	his	his	0
fathers	fathers	ng1	father's	father	0
shop	shop	n1	shop	shop	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
covered	covered	vvn	covered	cover	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
fine	fine	j	fine	fine	0
wrought	wrought	vvn	wrought	wrought	0
marble	marble	n1	marble	marble	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
