Wrangle	Wrangle	np1	Wrangle	Wrangle	0
vel	vel	fw-la	vel	vel	0
sequebantur	sequebantur	fw-la	sequebantur	sequebantur	0
poene	poene	n1	poene	poene	0
mille	mille	fw-la	mille	mille	0
currus	currus	fw-la	currus	currus	0
,	,	,	,	,	0
habuitque	habuitque	fw-la	habuitque	habuitque	0
apud	apud	fw-la	apud	apud	0
Sanwicum	Sanwicum	fw-la	Sanwicum	sanwicum	0
instructas	instructas	fw-la	instructas	instructas	0
optime	optime	n1	optime	optime	0
undecies	undecies	fw-la	undecies	undecies	0
centum	centum	fw-la	centum	centum	0
naves	naves	n2	naves	nave	0
,	,	,	,	,	0
&	&	cc	&	and	0
cum	cum	fw-la	cum	cum	0
hoc	hoc	fw-la	hoc	hoc	0
apparatu	apparatu	fw-la	apparatu	apparatu	0
ad	ad	fw-la	ad	ad	0
humiliandum	humiliandum	fw-la	humiliandum	humiliandum	0
Francorum	Francorum	fw-la	Francorum	francorum	0
fastum	fastum	fw-la	fastum	fastum	0
Franciam	Franciam	fw-la	Franciam	franciam	0
navigavit	navigavit	fw-la	navigavit	navigavit	0
,	,	,	,	,	0
relicto	relicto	fw-la	relicto	relicto	0
domino	domino	fw-la	domino	domino	0
Thoma	Thoma	np1	Thoma	Thoma	0
de	de	fw-fr	de	de	0
Woodstock	Woodstock	np1	Woodstock	Woodstock	0
filio	filio	fw-la	filio	filio	0
suo	suo	fw-la	suo	suo	0
juniore	juniore	fw-la	juniore	juniore	0
admodum	admodum	fw-la	admodum	admodum	0
parvulo	parvulo	fw-la	parvulo	parvulo	0
,	,	,	,	,	0
Anglici	Anglici	fw-la	Anglici	anglici	0
regni	regni	fw-la	regni	regni	0
custode	custode	vvd	custode	custode	0
,	,	,	,	,	0
sub	sub	fw-la	sub	sub	0
tutela	tutela	fw-la	tutela	tutela	0
tamen	tamen	fw-la	tamen	tamen	0
.	.	.	.	.	1
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
IN	IN	p-acp	IN	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1359.	1359.	crd	1359.	1359.	1
John	John	np1	John	John	0
the	the	dt	the	the	0
French	French	jp	French	french	0
king	king	n1	king	king	0
craftily	craftily	av-j	craftily	crafty	0
,	,	,	,	,	0
